domain,protocol,ip_addr,get_period,average_word_len,path_length,check_double_slash,containsAt,sub_dir,containsHyphen,countQueries,Label
secure.runescape.com-as.ru,0,0,0,1,1,0,0,4,1,0,1
78.143.96.35,0,0,0,0,0,1,0,5,0,0,1
electricitypak.com,0,0,0,0,0,1,0,7,0,0,1
christinacreates.com,0,0,0,0,1,1,0,11,1,0,1
paypal.com.nkt5c7h.top,0,0,0,0,0,0,0,3,0,0,1
brindisi.cf,0,0,0,0,0,1,0,3,0,0,1
gov.hmrc-returncalculate.com,0,0,0,0,0,1,0,3,1,0,1
31jan.page.link,0,0,0,0,0,0,0,3,0,0,1
mesfactureserviceslines.com,0,0,0,0,1,1,0,5,1,0,1
taxesin-usa.com,0,0,0,0,0,1,0,2,1,0,1
hbhdbhbhdbhdbhd.weebly.com,0,0,0,0,0,0,0,3,0,0,1
newdevice-onlineinfo.com,0,0,0,0,0,0,0,3,1,0,1
eeukbilling.com,0,0,0,0,0,1,0,3,0,0,1
resbet.blogspot.com,0,0,0,0,0,0,0,3,0,0,1
block-payee-halifax.com,0,0,0,0,0,0,0,3,2,0,1
darktoxicity.com,0,0,0,0,1,1,0,6,1,0,1
toongroup.com,0,0,0,0,0,1,0,4,0,0,1
payee-securitylloyds.com,0,0,0,0,0,0,0,3,1,0,1
3mvirugambakkam.com,0,0,0,0,0,1,0,5,0,0,1
isabellacano.com,0,0,0,0,0,1,0,4,0,0,1
hostiotics.com,0,0,0,0,1,0,0,7,0,0,1
bomqueagoraesoaproveita.com,0,0,0,1,0,1,0,4,0,1,1
halifaxscamalerts.com,0,0,0,0,0,0,0,3,0,0,1
maheshvalue.net,0,0,0,1,1,0,0,13,4,2,1
50.28.1.43,0,0,0,0,1,1,0,5,0,0,1
eliotecae-my.sharepoint.com,0,0,0,1,1,0,0,10,5,3,1
bytesizepolitics.com,0,0,0,0,1,1,0,6,0,0,1
tsuzuki.co.id,0,0,0,0,0,1,0,5,0,0,1
talingchan.ac.th,0,0,0,0,0,1,0,7,0,0,1
halifax-security-payee.com,0,0,0,0,0,0,0,3,2,0,1
phphwww.runescape.com-de.ru,0,0,0,0,0,0,0,3,1,0,1
fhhw1u.webwave.dev,0,0,0,0,0,0,0,3,0,0,1
natwest.internetbanking-specs.com,0,0,0,0,0,1,0,3,1,0,1
viccats.camcam.dns-cloud.net,0,0,0,0,1,1,0,6,1,0,1
ftp.mixi.guru,0,0,0,0,0,0,0,3,0,0,1
amazon-check-co-jp.g1w.top,0,0,0,0,0,0,0,3,3,0,1
erikdjones.com,0,0,0,0,1,0,0,5,0,0,1
nagoya-central.com,0,0,0,0,0,1,0,5,1,0,1
arushaone.co.tz,0,0,0,1,1,0,0,7,4,0,1
bvbahealthypharmacy.com,0,0,0,0,0,1,0,3,0,0,1
levinhogiveawayy.com,0,0,0,0,0,1,0,3,0,0,1
fbcaps2015.0fees.us,0,0,0,0,0,1,0,3,0,0,1
westexstones.com,0,0,0,0,0,0,0,3,0,0,1
telecomenterpriseinc-my.sharepoint.com,0,0,0,1,1,0,0,7,1,0,1
tmphysio.de,0,0,0,0,0,0,0,3,0,0,1
maisplanosdesaude.com,0,0,0,0,0,1,0,3,0,0,1
services.runescape.com-as.ru,0,0,0,1,1,0,0,4,1,0,1
newsimdigital.com,0,0,0,1,1,0,0,5,1,0,1
updatemybilling-ee.com,0,0,0,1,0,0,0,3,1,1,1
playfirstoftheday.com,0,0,0,0,1,0,0,7,1,0,1
kazu-homepage.main.jp,0,0,0,0,0,1,0,4,2,0,1
ee-billing-guide.com,0,0,0,0,0,0,0,3,2,0,1
atagucsea.com,0,0,0,0,1,1,0,7,1,0,1
cartoriovendanova.net.br,0,0,0,0,0,1,0,7,0,0,1
designferreira.com.br,0,0,1,0,1,1,0,6,0,0,1
halifax.secure-my-device.uk,0,0,0,0,0,0,0,3,2,0,1
join-groub-whatsapp34.25u.com,0,0,0,0,0,1,0,3,2,0,1
165.22.103.235,0,0,0,0,1,1,0,7,0,0,1
halifax-deviceverify.com,0,0,0,0,0,0,0,3,1,0,1
hangsengecard.com,0,0,0,0,0,0,0,3,0,0,1
itauucarddhojee.sytes.net,0,0,0,0,0,1,0,5,0,0,1
payeesecurity-app.com,0,0,0,0,0,0,0,3,1,0,1
bankline.xn--ita-70a.com,0,0,1,0,0,1,0,3,3,0,1
gassinotorinese.cngei.it,0,0,0,0,1,1,0,4,0,0,1
mutatio.cl,0,0,0,0,1,0,0,7,1,0,1
microsoft1.serving-secure.com,0,0,0,1,1,0,0,4,1,0,1
nihmt.com,0,0,0,0,1,1,0,6,0,0,1
accounts-login-idm-telekomidm.cloud,0,0,0,0,0,1,0,2,3,0,1
robbmc.typeform.com,0,0,0,0,0,1,0,5,0,0,1
dkb377774.blogspot.com,0,0,0,0,0,0,0,3,0,0,1
betebetgirisimiz.blogspot.com,0,0,0,0,0,1,0,2,0,0,1
gratiscovid19.mrbonus.com,0,0,0,0,0,1,0,3,0,0,1
content-fbook-41087503.roggiehouse.it,0,0,0,1,0,1,0,3,2,0,1
toddmkirsch.com,0,0,0,0,1,0,1,5,0,0,1
madetec20.com,0,0,0,0,0,0,0,4,0,0,1
pubgeventgetnow.com,0,0,0,0,0,0,0,3,0,0,1
keypointtraining-my.sharepoint.com,0,0,0,1,1,1,0,7,14,4,1
smsvocal.byethost13.com,0,0,0,0,0,1,0,3,0,0,1
survey.alchemer.com,0,0,0,0,1,0,0,5,3,0,1
cajamar-es-caja-rural.bp-pt.com,0,0,0,0,0,1,0,3,4,0,1
wildcard.consultemerald.org,0,0,0,1,0,1,0,3,0,0,1
num.to,0,0,0,0,0,1,0,3,2,0,1
midyatmimaritas.com,0,0,0,0,0,1,0,3,0,0,1
clienteverifica-account.it,0,0,0,0,0,1,0,5,1,0,1
secure-apphalifaxupdate-verification-online.expeditor.cl,0,0,0,1,0,0,0,3,3,0,1
talingchan.ac.th,0,0,0,0,1,1,0,7,0,0,1
macjakarta.com,0,0,0,0,1,1,0,8,0,0,1
instagram-verified-badge.epizy.com,0,0,0,1,0,1,0,3,2,0,1
sites.google.com,0,0,0,0,0,0,0,5,0,0,1
airy-directory.com,0,0,0,0,0,0,0,4,1,0,1
devicealert-uk.com,0,0,0,0,0,0,0,3,1,0,1
wdestaques17.boa-semana-ame-total.com,0,0,0,1,1,0,0,7,21,0,1
demo.samretpechfinance.com,0,0,0,0,1,1,0,7,1,0,1
docs.google.com,0,0,0,0,1,0,0,7,0,0,1
wildcard.danskiptv.shop,0,0,0,1,0,1,0,3,0,0,1
gwisalltrack.com,0,0,0,1,1,1,0,4,0,0,1
Halifax.manage-newdevices.com,0,0,0,0,0,0,0,3,1,0,1
customersupportatt.weebly.com,0,0,0,0,0,0,0,3,0,0,1
constructoravallereal.com,0,0,0,0,1,0,0,6,1,0,1
docs.google.com,0,0,0,0,1,0,0,7,0,0,1
galbob.fr,0,0,0,0,0,0,0,5,1,0,1
runescape.com-de.ru,0,0,0,0,0,0,0,3,1,0,1
romatermit.ro,0,0,0,0,0,0,0,4,0,0,1
login-made-in-china-com-c39babp0gud5bpg9abid-securelogin.pantheonsite.io,0,0,1,1,1,0,0,6,11,0,1
revbox.com.br,0,0,0,1,1,0,0,7,2,2,1
inspirationmedical.in,0,0,0,1,1,0,0,8,15,8,1
infopublishersassociation.com,0,0,0,0,1,1,0,10,1,0,1
justlookapp.com,0,0,0,0,1,1,0,10,1,0,1
block-payee-halifax.com,0,0,0,0,0,0,0,3,2,0,1
h5brzd.webwave.dev,0,0,0,0,0,0,0,3,0,0,1
halifaxpayee151988.com,0,0,0,0,0,0,0,3,0,0,1
sportugal.pt,0,0,0,0,1,1,0,4,0,0,1
life-reboot.club,0,0,0,0,0,1,1,3,1,0,1
reurl.cc,0,0,0,0,0,0,0,3,0,0,1
zlobek.stargard.pl,0,0,0,0,0,1,0,3,0,0,1
firebasestorage.googleapis.com,0,0,1,1,1,0,1,7,4,1,1
ktpn.kalisz.pl,0,0,1,1,0,1,1,4,1,0,1
pcsvet.si,0,0,0,0,1,1,0,7,1,0,1
ctamedia.net,0,0,0,0,0,0,0,6,0,0,1
890814.com,0,0,0,1,1,1,0,6,1,0,1
marmantieral0672435544.usluga.me,0,0,0,0,0,1,0,3,0,0,1
reactivespace.com,0,0,0,1,1,0,1,3,1,1,1
faceboookcom.0fees.us,0,0,0,0,0,1,0,3,0,0,1
bfrbiibdiugblwqrqd.typeform.com,0,0,0,0,0,0,0,4,0,0,1
littleelmapartments.com,0,0,0,0,0,0,0,8,0,0,1
w-runescape.com.ua,0,0,0,0,0,1,0,3,1,0,1
swarovskisklep.com.pl,0,0,0,0,0,1,0,3,0,0,1
adnet8.com,0,0,1,0,0,1,0,12,0,0,1
beninsulted.com,0,0,0,1,1,1,1,8,2,2,1
envirodrilling.com,0,0,0,0,1,1,0,8,1,0,1
trsresourcing-my.sharepoint.com,0,0,0,1,1,0,0,11,9,4,1
a-a5a5.000webhostapp.com,0,0,0,0,0,0,0,5,1,0,1
gwcxnqhlgzmxjxfwmsgultoqua-dot-triple-upgrade-293822.rj.r.appspot.com,0,0,0,1,0,1,0,3,4,0,1
onlinecheck-device.com,0,0,0,0,0,1,0,3,1,0,1
prf-gov-br.myfreesites.net,0,0,0,0,0,1,0,2,2,0,1
tazhlmnjkwdkbmmvqubjplbtkb-dot-triple-upgrade-293822.rj.r.appspot.com,0,0,0,1,0,0,0,3,4,0,1
quarantinewebmail-2096.an.r.appspot.com,0,0,0,1,0,0,0,2,1,0,1
tvosxdfmkciqxvpwvbbnnrjifawkhznzifyx-dot-offgl8876899977678.uk.r.appspot.com,0,0,0,1,0,1,0,3,2,0,1
ebay-de-diskussionsforen-de-wsi.html-5.me,0,0,0,0,0,1,0,3,5,0,1
stolizaparketa.ru,0,0,1,0,1,1,1,10,1,0,1
aletheasaidel.com.br,0,0,0,0,0,0,0,4,0,0,1
adisekar.com,0,0,0,0,1,1,0,5,3,0,1
digitalflashbacks.ca,0,0,0,0,1,1,0,8,1,1,1
xhmnv.mjt.lu,0,0,0,1,1,1,0,7,1,0,1
empresas-lnterlbnlk-pe.com,0,0,0,0,0,0,0,3,2,0,1
95877fdce53278834.temporary.link,0,0,0,0,1,0,0,6,0,0,1
file-rebate.com,0,0,0,1,0,0,0,3,1,1,1
legiun404.epizy.com,0,0,0,0,0,1,0,3,0,0,1
semconnord-my.sharepoint.com,0,0,0,1,1,0,0,7,1,0,1
myvk.byethost14.com,0,0,0,0,0,1,0,3,0,0,1
ukuwycostoyzwxsevjdmmmangf-dot-triple-upgrade-293822.rj.r.appspot.com,0,0,0,1,0,0,0,3,4,0,1
emigratingtothesun.com,0,0,0,0,0,0,0,6,0,0,1
kjjllgf.blogspot.com,0,0,0,0,0,0,0,3,0,0,1
ghorana.com,0,0,0,0,0,1,0,6,0,0,1
uk-device-alert.com,0,0,0,0,0,0,0,3,2,0,1
paypal-merchantloyalty.com,0,0,0,0,0,1,0,3,1,0,1
cannabispropertybrokers.com,0,0,0,1,0,0,0,5,1,2,1
lloyds-securepayees.com,0,0,0,0,0,1,0,3,1,0,1
redcloakmusic.com.br,0,0,0,0,0,1,1,4,0,0,1
capscomic.0fees.us,0,0,0,0,0,1,0,3,0,0,1
nre.fbook.com.gmgroupllc.co,0,0,1,1,0,1,0,3,0,0,1
howtorun.biz,0,0,0,0,0,0,0,5,1,0,1
halifax-onlineinfo.com,0,0,0,0,0,1,0,3,1,0,1
sultantd.com.au,0,0,0,1,1,0,1,5,1,2,1
deregisterdevice-secure.co.uk,0,0,0,0,0,0,0,3,1,0,1
alerteddevice-deregisteration.com,0,0,0,0,0,0,0,3,1,0,1
halifaxpayee-check.com,0,0,0,0,0,1,0,3,1,0,1
geoallen.com,0,0,0,0,0,0,0,4,0,0,1
fuentesfidedignas.com.mx,0,0,1,0,1,1,0,8,0,0,1
hali-secure.com,0,0,0,0,0,1,0,4,1,0,1
cnam.md,0,0,0,0,1,1,0,6,0,0,1
mavibett1.blogspot.com,0,0,0,0,0,0,0,3,0,0,1
vk.cc,0,0,0,0,0,0,0,3,0,0,1
michaelkunkel1234.de,0,0,0,1,0,1,0,4,0,0,1
cancel-halifax.com,0,0,0,0,0,0,0,4,1,0,1
atriumlandscape-my.sharepoint.com,0,0,0,1,1,0,0,7,5,4,1
windowfrance.com,0,0,0,0,1,1,0,8,1,0,1
vbse.co.in,0,0,0,0,0,1,0,4,0,0,1
docusignsecure1com1login1dropbox9com64bae2a51a5b3dropbox7com.mybabydeck.com,0,0,0,1,0,0,0,3,0,0,1
gdzpower.com,0,0,0,0,0,1,0,5,0,0,1
halifax.co.uk-mobileappupdate-system-update.esenbogashuttle.com,0,0,0,1,0,1,0,3,3,0,1
bity.live,0,0,0,0,0,1,0,4,0,0,1
dbsgintrnetbakngg.com,0,0,0,0,0,0,0,3,0,0,1
app.box.com,0,0,0,0,1,0,0,4,0,0,1
decaturilbgc.com,0,0,1,1,1,1,0,10,0,2,1
xagmpkueqiesigtjqtrqorwqupuohchliahu-dot-offgl8876899977678.uk.r.appspot.com,0,0,0,1,0,1,0,3,2,0,1
galiciaemi.com,0,0,0,0,0,1,0,4,0,0,1
excelbest.com,0,0,0,0,0,1,0,5,0,0,1
leckerreinschneideir.de,0,0,0,0,0,1,0,3,0,0,1
gordonng.com,0,0,0,1,0,1,0,6,2,1,1
excavationguay.com,0,0,0,0,1,1,0,6,1,0,1
vieuxshack.com,0,0,0,0,1,1,0,5,0,0,1
parafiaczarkow.ns48.pl,0,0,0,0,1,0,0,7,3,0,1
ighbawqjqwkzihtlrbiwjvdrdo-dot-triple-upgrade-293822.rj.r.appspot.com,0,0,0,1,0,0,0,3,4,0,1
grandmarketltd.co.uk,0,0,0,0,1,1,0,9,1,0,1
manage-payees.co.uk,0,0,0,0,0,0,0,3,1,0,1
stayonlinkone.com,0,0,1,1,0,0,0,5,0,1,1
jeyashanker.com,0,0,0,0,1,1,0,6,0,0,1
pqaxkffjrmnwgmem-dot-tetete-app.ue.r.appspot.com,0,0,0,0,0,0,0,3,3,0,1
revaldy.paramadina.web.id,0,0,0,0,0,1,0,4,0,0,1
mybiryaniexpress.com,0,0,0,0,1,0,0,10,0,0,1
it.melnikhotels.com,0,0,0,1,1,1,0,13,2,2,1
nordcity.by,0,0,0,0,0,1,0,5,0,0,1
azosimoveis.com,0,0,0,0,1,0,0,5,0,0,1
universalinsulators.com,0,0,0,0,0,0,0,5,0,0,1
halifax.secureonline-device.com,0,0,0,0,0,1,0,3,1,0,1
amazon-check-co-jp.e1z.top,0,0,0,0,0,0,0,3,3,0,1
brighant.com,0,0,0,0,0,1,0,4,0,0,1
dambientales.com,0,0,0,1,1,0,0,7,2,2,1
safirbetgiriss1.blogspot.com,0,0,0,0,0,0,0,3,0,0,1
gabriellesrestaurant.com,0,0,0,0,1,1,0,15,0,0,1
clearviewpartners.in,0,0,0,0,0,1,0,4,0,0,1
att000ooooeerw0000oooo.weebly.com,0,0,0,0,0,0,0,3,0,0,1
betasussgir.blogspot.com,0,0,0,0,0,1,0,2,0,0,1
ybs.51haoyayi.cn,0,0,0,0,0,1,0,4,0,0,1
moisescabrera.com,0,0,0,0,0,0,0,2,0,0,1
mdbrouckbnynsixdmriqatjtpausukjayvxs-dot-offgl8876899977678.uk.r.appspot.com,0,0,0,1,0,0,0,3,2,0,1
kongrespdgi.com,0,0,0,0,1,0,0,8,0,0,1
bicicentroslezama.com,0,0,0,0,0,1,0,5,0,0,1
vbse.co.in,0,0,0,0,0,1,0,3,0,0,1
livestudentccc-my.sharepoint.com,0,0,0,1,1,0,0,7,1,3,1
offerspins10k.club,0,0,0,0,0,1,0,3,0,0,1
schroffenstein.online.fr,0,0,0,1,1,1,0,4,0,1,1
interbahiss1.blogspot.com,0,0,0,0,0,0,0,3,0,0,1
u9261153kr.ha004.t.justns.ru,0,0,1,0,1,1,0,6,2,0,1
marketinghbt-my.sharepoint.com,0,0,0,1,1,0,0,7,13,2,1
mosommtksoatqdftzrbnxpmukpmnfgixsyxf-dot-offgl8876899977678.uk.r.appspot.com,0,0,0,1,0,0,0,3,2,0,1
gouv-impot.cemerbas.com,0,0,0,0,0,0,0,3,1,0,1
view-shop.net,0,0,0,0,0,0,0,3,1,0,1
sites.google.com,0,0,0,0,0,0,0,5,1,0,1
votre-boitevocale-fixe.web.app,0,0,0,0,0,0,0,3,2,0,1
new-three-update.co,0,0,0,0,0,1,0,5,2,0,1
sylviamclain-my.sharepoint.com,0,0,0,1,1,0,0,7,1,3,1
ch.prunauneau.fr,0,0,0,0,0,1,0,4,0,0,1
prismanet.000webhostapp.com,0,0,0,0,0,1,0,3,0,0,1
caracasmateriais.blogspot.com,0,0,0,0,0,0,0,3,0,0,1
godeaug.org,0,0,0,1,1,1,0,5,0,2,1
xocovid19.com.br,0,0,0,0,0,0,0,2,0,0,1
mocambiqueimoveis.floripa.br,0,0,0,0,0,1,0,4,0,0,1
archiwum.allegro.secfence.lesavik.net,0,0,0,0,0,1,0,3,0,0,1
halifax-onlineinfo.com,0,0,0,0,0,0,0,3,1,0,1
facebook-base-verification-support.facebook-supports.com,0,0,0,1,0,1,0,3,4,0,1
drive.google.com,0,0,0,0,1,0,0,6,0,0,1
mutatio.cl,0,0,0,0,1,0,0,8,1,0,1
firebasestorage.googleapis.com,0,0,1,1,1,0,0,7,13,1,1
gov.hmrc-regaintax.com,0,0,0,0,0,1,0,3,1,0,1
set.net,0,0,0,0,0,0,0,3,0,0,1
gamingdominion.com,0,0,0,0,1,1,0,8,0,0,1
halifax.secureonline-digital.com,0,0,0,0,0,0,0,3,1,0,1
navaryacht.com,0,0,0,0,0,0,0,3,0,0,1
bytesizepolitics.com,0,0,0,0,1,1,0,5,0,0,1
justlookapp.com,0,0,0,0,1,1,0,9,1,0,1
lloyds-auth.club,0,0,0,0,0,0,0,3,1,0,1
karim-gawad.com,0,0,0,0,1,0,0,8,2,0,1
digitalflashbacks.ca,0,0,0,0,1,1,0,8,1,0,1
texomaguardiangroup-doc-auth.cf,0,0,0,0,0,0,0,3,2,0,1
halifax-issue-prevention.com,0,0,0,0,0,0,0,3,2,0,1
toongroup.com,0,0,0,0,0,1,0,3,0,0,1
grupoartima.com,0,0,0,0,1,0,0,6,1,0,1
device-alert-uk.com,0,0,0,0,0,0,0,3,2,0,1
docs.google.com,0,0,0,0,1,0,0,7,0,0,1
03418f6.netsolhost.com,0,0,0,1,1,1,0,4,0,0,1
files-safe.cf,0,0,0,1,1,0,1,4,1,2,1
tecnologiasintegralesmedioambientales.com,0,0,0,0,0,1,0,5,0,0,1
jetapo.com,0,0,0,1,0,0,1,5,0,3,1
greteldeblock.com,0,0,0,0,1,1,0,9,0,0,1
authorise-mobilebanking.com,0,0,0,0,0,1,0,3,1,0,1
paypal.com-update.accounts.paypal.thepresidencyschool.com,0,0,1,1,0,1,0,3,1,0,1
gamingboulevard.com,0,0,0,0,0,0,0,4,0,0,1
trindex.com,0,0,0,0,0,0,0,5,0,0,1
proxingopec.top,0,0,0,0,0,0,0,3,0,0,1
copinyasociados.com.mx,0,0,0,1,1,0,0,8,2,2,1
ourtimecom4.yolasite.com,0,0,0,0,0,0,0,3,0,0,1
nwrcdivayezdk6ztputrlw-on.drv.tw,0,0,0,0,0,1,0,4,1,0,1
truckcalling.com,0,0,0,0,0,1,0,3,0,0,1
otropuerto.com,0,0,0,1,1,1,1,6,3,1,1
secure.runescape.com-en.ru,0,0,0,1,1,0,0,4,1,0,1
y9o5m.codesandbox.io,0,0,0,0,0,1,0,3,0,0,1
imagehotelsnet-my.sharepoint.com,0,0,0,1,1,0,0,7,3,0,1
halifaxscampreventiongroup.com,0,0,0,0,0,1,0,3,0,0,1
halifaxfraudalertschecks.com,0,0,0,0,0,0,0,4,0,0,1
lloydsbank.online-login-authenticate-device.com,0,0,0,1,0,0,0,3,3,0,1
firebasestorage.googleapis.com,0,0,1,1,1,0,1,7,20,1,1
wuteh.a100.com.pl,0,0,0,0,1,1,0,8,1,0,1
mybiryaniexpress.com,0,0,0,0,1,1,0,10,0,0,1
hempmeds-my.sharepoint.com,0,0,0,1,1,0,0,8,5,4,1
technationgroup.com,0,0,0,0,0,0,0,3,0,0,1
otropuerto.com,0,0,0,1,1,1,1,6,3,2,1
syjxzftcuzwjswvruogsknsidzjolvgfsash-dot-offgl8876899977678.uk.r.appspot.com,0,0,0,1,0,0,0,3,2,0,1
lafargeall.firebaseapp.com,0,0,0,0,0,0,1,4,0,0,1
alfredtalkelogisticservices-my.sharepoint.com,0,0,0,1,1,0,0,9,5,3,1
paypal-rimborso.com,0,0,0,0,0,0,0,3,1,0,1
95877fdce53278834.temporary.link,0,0,0,0,1,0,0,7,0,0,1
tubepchiunuoc.com,0,0,0,0,0,1,0,5,0,0,1
eliotecae-my.sharepoint.com,0,0,0,1,1,0,0,8,9,4,1
docs.google.com,0,0,0,0,1,0,0,7,0,0,1
davidwinogrondspacetet.com,0,0,0,0,1,1,1,6,1,0,1
lloydsbank.login-auth-secure-device.com,0,0,0,0,0,0,0,3,3,0,1
accorservorg.yolasite.com,0,0,0,0,0,0,0,3,0,0,1
reurl.cc,0,0,0,0,0,0,0,3,0,0,1
secure-lloyds-device.com,0,0,0,0,0,0,0,3,2,0,1
abcexpresslogistics.com,0,0,0,0,0,1,0,4,0,0,1
t8t.com.br,0,0,0,0,0,1,0,4,0,0,1
nalandaway.org,0,0,0,0,1,0,0,5,1,0,1
api.bdisl.com,0,0,0,1,0,1,0,3,1,6,1
betasus20.blogspot.com,0,0,0,0,0,1,0,2,0,0,1
capsblog.0fees.us,0,0,0,0,0,1,0,3,0,0,1
qjewlhpbecvatgptifdcufxxnfejnastupfg-dot-offglen.uk.r.appspot.com,0,0,0,1,0,1,0,3,2,0,1
services.runescape.com-as.ru,0,0,0,1,1,0,0,4,1,0,1
storage.googleapis.com,0,0,1,1,1,0,0,5,2,0,1
vt3pa0.webwave.dev,0,0,0,0,0,0,0,3,0,0,1
halifax.onlinehelp-secureaccount.com,0,0,0,0,0,0,0,3,1,0,1
betasussgir.blogspot.com,0,0,0,0,0,0,0,3,0,0,1
profinishmi.com,0,0,0,0,0,1,1,6,0,0,1
shutheatrearts.org,0,0,0,0,0,0,0,5,1,0,1
freecdb.top,0,0,0,0,0,1,0,5,0,0,1
tatatincaio.weebly.com,0,0,0,0,0,0,0,3,0,0,1
i-m.mx,0,0,0,0,0,1,0,5,1,0,1
halifax.login-payee-issue-verify.com,0,0,0,0,0,0,0,3,3,0,1
lloyds.secure-new-pair-auth.com,0,0,0,0,0,1,0,3,3,0,1
nabtolonu1913.blogspot.com,0,0,0,0,0,0,0,3,0,0,1
businesschallengedubai.com,0,0,0,0,1,1,0,9,1,0,1
alnasirlab.com,0,0,0,0,0,1,0,3,0,0,1
docs.google.com,0,0,0,0,1,0,0,7,1,0,1
xn--w0t764j.com,0,0,0,0,0,1,0,3,2,0,1
momsbeaware.com,0,0,0,0,0,0,0,5,0,0,1
lloyds-securepayees.com,0,0,0,0,0,0,0,3,1,0,1
bomym.com,0,0,0,1,1,0,0,6,1,0,1
sigliving-my.sharepoint.com,0,0,0,1,1,0,0,7,3,0,1
alert-device-uk.com,0,0,0,0,0,0,0,3,2,0,1
burduguz.ru,0,0,0,0,0,0,0,6,1,0,1
secure.runescape.com-en.ru,0,0,0,1,1,0,0,4,1,0,1
emailmarketing.locaweb.com.br,0,0,0,0,0,0,0,6,0,0,1
services.runescape.com-remast.xyz,0,0,0,0,0,1,0,3,1,0,1
content-fbook-23679317.roggiehouse.it,0,0,0,1,0,1,0,3,2,0,1
digitalflashbacks.ca,0,0,0,0,1,1,0,6,1,0,1
gaxcgyhjechufapmojeeditirmxhwbkerzip-dot-offgl8876899977678.uk.r.appspot.com,0,0,0,1,0,0,0,3,2,0,1
